times,speed,dir
2022-08-07 17:30,0.144,159.68
2022-08-07 17:40,0.255,96.99
2022-08-07 17:50,0.291,75.68
2022-08-07 18:00,0.135,64.57
2022-08-07 18:10,0.361,20.09
2022-08-07 18:20,0.315,44.36
2022-08-07 18:30,0.237,66.9
2022-08-07 18:40,0.289,18.12
2022-08-07 18:50,0.283,26.02
2022-08-07 19:00,0.441,35.13
2022-08-07 19:10,0.349,51.16
2022-08-07 19:20,0.36,35.72
2022-08-07 19:30,0.195,46.25
2022-08-07 19:40,0.339,23.69
2022-08-07 19:50,0.436,40.07
2022-08-07 20:00,0.361,36.9
2022-08-07 20:10,0.45,24.69
2022-08-07 20:20,0.372,31.81
2022-08-07 20:30,0.454,9.63
2022-08-07 20:40,0.409,5.75
2022-08-07 20:50,0.418,348.82
2022-08-07 21:00,0.4,4.3
2022-08-07 21:10,0.301,0.19
2022-08-07 21:20,0.393,12.94
2022-08-07 21:30,0.667,12.83
2022-08-07 21:40,0.886,22.57
2022-08-07 21:50,0.717,32.29
2022-08-07 22:00,0.792,34.09
2022-08-07 22:10,0.656,19.4
2022-08-07 22:20,0.781,20.55
2022-08-07 22:30,0.648,18.55
2022-08-07 22:40,0.553,15.75
2022-08-07 22:50,0.646,11.97
2022-08-07 23:00,0.439,14.38
2022-08-07 23:10,0.426,8.91
2022-08-07 23:20,0.365,1.57
2022-08-07 23:30,0.333,343.25
2022-08-07 23:40,0.371,2.93
2022-08-07 23:50,0.345,336.93
2022-08-08 0:00,0.51,4.38
2022-08-08 0:10,0.274,345.61
2022-08-08 0:20,0.422,351.7
2022-08-08 0:30,0.245,355.08
2022-08-08 0:40,0.286,357.4
2022-08-08 0:50,0.414,359.03
2022-08-08 1:00,0.137,312.05
2022-08-08 1:10,0.186,326.4
2022-08-08 1:20,0.28,20.89
2022-08-08 1:30,0.211,341.48
2022-08-08 1:40,0.077,42.37
2022-08-08 1:50,0.081,18.66
2022-08-08 2:00,0.061,322.94
2022-08-08 2:10,0.103,229.34
2022-08-08 2:20,0.095,224.58
2022-08-08 2:30,0.173,208.35
2022-08-08 2:40,0.182,194.95
2022-08-08 2:50,0.2,202.07
2022-08-08 3:00,0.258,201.8
2022-08-08 3:10,0.446,183.47
2022-08-08 3:20,0.248,183.71
2022-08-08 3:30,0.244,235.33
2022-08-08 3:40,0.202,203.27
2022-08-08 3:50,0.28,189.03
2022-08-08 4:00,0.144,155.39
2022-08-08 4:10,0.241,172.14
2022-08-08 4:20,0.255,159.37
2022-08-08 4:30,0.211,176.47
2022-08-08 4:40,0.366,181.88
2022-08-08 4:50,0.259,187.1
2022-08-08 5:00,0.359,173.45
2022-08-08 5:10,0.237,194.68
2022-08-08 5:20,0.298,205.62
2022-08-08 5:30,0.262,191.91
2022-08-08 5:40,0.231,173.28
2022-08-08 5:50,0.195,154.88
2022-08-08 6:00,0.283,192.46
2022-08-08 6:10,0.081,160.44
2022-08-08 6:20,0.189,164.64
2022-08-08 6:30,0.062,194.93
2022-08-08 6:40,0.249,198.29
2022-08-08 6:50,0.24,158.24
2022-08-08 7:00,0.115,137.83
2022-08-08 7:10,0.13,182.64
2022-08-08 7:20,0.109,146.6
2022-08-08 7:30,0.138,147.12
2022-08-08 7:40,0.075,21.09
2022-08-08 7:50,0.16,45.51
2022-08-08 8:00,0.077,33.27
2022-08-08 8:10,0.277,50.27
2022-08-08 8:20,0.289,43.18
2022-08-08 8:30,0.219,12.39
2022-08-08 8:40,0.287,12.88
2022-08-08 8:50,0.264,41
2022-08-08 9:00,0.333,31.73
2022-08-08 9:10,0.37,30.86
2022-08-08 9:20,0.314,40.23
2022-08-08 9:30,0.308,18.14
2022-08-08 9:40,0.358,31.16
2022-08-08 9:50,0.271,356.19
2022-08-08 10:00,0.347,355.7
2022-08-08 10:10,0.218,354.73
2022-08-08 10:20,0.397,20.81
2022-08-08 10:30,0.391,355.31
2022-08-08 10:40,0.416,17.21
2022-08-08 10:50,0.315,10.81
2022-08-08 11:00,0.575,24.69
2022-08-08 11:10,0.464,9.18
2022-08-08 11:20,0.558,39.77
2022-08-08 11:30,0.31,14.98
2022-08-08 11:40,0.464,31.26
2022-08-08 11:50,0.444,356.25
2022-08-08 12:00,0.276,11.07
2022-08-08 12:10,0.206,34.54
2022-08-08 12:20,0.185,20.19
2022-08-08 12:30,0.154,23.39
2022-08-08 12:40,0.185,333.02
2022-08-08 12:50,0.203,7.93
2022-08-08 13:00,0.281,353.66
2022-08-08 13:10,0.132,50.86
2022-08-08 13:20,0.137,308.79
2022-08-08 13:30,0.08,346.31
2022-08-08 13:40,0.032,208.18
2022-08-08 13:50,0.082,217.57
2022-08-08 14:00,0.17,263.92
2022-08-08 14:10,0.231,234.52
2022-08-08 14:20,0.158,235.81
2022-08-08 14:30,0.254,216.19
